Row  1 | [Loại] | VPB                                                     | L(2024): 2024            (fx: 2024) | M(2025): 2025            (fx: 2025)
Row  2 | [Fill] | Tổng thu nhập hoạt động (TOI)                           | L(2024): 62255000        (fx: 62255000) | M(2025): 74653817        (fx: 74653817)
Row  3 | [Tính] | Tăng trưởng TOI                                         | L(2024): #DIV/0!         (fx: =(L2-K2)/K2) | M(2025): 0.1991617862019115 (fx: =(M2-L2)/L2)
Row  4 | [Tính] | Chi phí vận hành (SG & A)                               | L(2024): -14340000       (fx: -14340000) | M(2025): -18630319       (fx: =M7-M2)
Row  5 | [Fill] | Tỷ lệ Chi phí / Thu nhập (CIR)                          | L(2024): None            (fx: None) | M(2025): -0.24955614794619277 (fx: -0.24955614794619277)
Row  6 | [Tính] | Tăng tưởng CPVH                                         | L(2024): #DIV/0!         (fx: =(L4-K4)/K4) | M(2025): 0.29918542538354254 (fx: =(ABS(M4)-ABS(L4))/ABS(L4))
Row  7 | [Fill] | Lợi nhuận thuần từ hoạt động kinh doanh trước chi phí dự phòng rủi ro tín dụng | L(2024): None            (fx: None) | M(2025): 56023498        (fx: 56023498)
Row  8 | [Tính] | Biên lãi vận hành (trước DPRR)                          | L(2024): None            (fx: None) | M(2025): 0.7504438520538073 (fx: =M7/M2)
Row  9 | [Fill] | Chi phí dự phòng rủi ro tín dụng                        | L(2024): None            (fx: None) | M(2025): -25398549       (fx: -25398549)
Row 10 | [Fill] | Tổng lợi nhuận trước thuế (PBT)                         | L(2024): None            (fx: None) | M(2025): 30624949        (fx: 30624949)
Row 11 | [Tính] | Biên lợi nhuận trước thuế                               | L(2024): None            (fx: None) | M(2025): 0.4102261643232522 (fx: =M10/M2)
Row 12 | [Fill] | Lợi nhuận sau thuế thu nhập doanh nghiệp                | L(2024): None            (fx: None) | M(2025): 24354596        (fx: 24354596)
Row 13 | [Tính] | Biên lợi nhuận sau thuế thu nhập doanh nghiệp           | L(2024): None            (fx: None) | M(2025): 0.32623376779247604 (fx: =M12/M2)
Row 14 | [Fill] | Lợi nhuận sau thuế của cổ đông công ty mẹ               | L(2024): 15778795        (fx: 15778795) | M(2025): 23989930        (fx: 23989930)
Row 15 | [Tính] | Biên Lợi nhuận ST của CĐ công ty mẹ                     | L(2024): None            (fx: None) | M(2025): 0.3213490075129045 (fx: =M14/M2)
Row 16 | [Tính] | Tăng trưởng lãi ròng sau CĐ thiểu số                    | L(2024): #DIV/0!         (fx: =(L14-K14)/K14) | M(2025): 0.5203904987674914 (fx: =(M14-L14)/L14)
Row 17 | [Fill] | Lãi cơ bản trên cổ phiếu (EPS)                          | L(2024): 1989            (fx: 1989) | M(2025): 3024            (fx: 3024)
Row 18 | [Fill] | Chi Khấu hao TSCĐ                                       | L(2024): 511641          (fx: 511641) | M(2025): 549588          (fx: 549588)
Row 19 | [Tính] | CPKH/Tổng thu nhập hoạt động                            | L(2024): None            (fx: None) | M(2025): 0.007361820494724335 (fx: =M18/M2)
Row 20 | [Fill] | Biên lãi thuần (NIM)                                    | L(2024): None            (fx: None) | M(2025): 0.0557          (fx: 0.0557)
Row 21 | [Fill] | Chi phí vốn bình quân                                   | L(2024): -0.0442         (fx: -0.0442) | M(2025): -0.0477         (fx: -0.0477)
Row 22 | [Tính] | Thay đổi tỷ lệ chi phí vốn                              | L(2024): None            (fx: None) | M(2025): 0.07918552036199086 (fx: =(ABS(M21)-ABS(L21))/ABS(L21))
Row 23 | [Fill] | Tỷ lệ nợ xấu (NPL) cuối năm                             | L(2024): None            (fx: None) | M(2025): 0.0333347289589912 (fx: 0.0333347289589912)
Row 24 | [Fill] | Tỷ lệ tiền gửi không kỳ hạn (CASA)                      | L(2024): None            (fx: None) | M(2025): 0.1445          (fx: 0.1445)
Row 25 | [Fill] | Tổng tài sản                                            | L(2024): 923847637       (fx: 923847637) | M(2025): 1260149596      (fx: 1260149596)
Row 26 | [Fill] | Lưu chuyển tiền thuần từ hoạt động kinh doanh           | L(2024): None            (fx: None) | M(2025): 44532621        (fx: 44532621)
Row 27 | [Fill] | Cổ tức trả cổ đông, lợi nhuận đã chia                   | L(2024): -7935832        (fx: -7935832) | M(2025): -3968172        (fx: -3968172)
Row 28 | [Fill] | Lưu chuyển tiền thuần từ/(sử dụng vào) hoạt
động tài chính | L(2024): None            (fx: None) | M(2025): 8650600         (fx: 8650600)
Row 29 | [Fill] | Nợ nghi ngờ                                             | L(2024): 12098440        (fx: 12098440) | M(2025): 10879958        (fx: 10879958)
Row 30 | [Tính] | Thay đổi tỷ lệ nợ nghi ngờ                              | L(2024): None            (fx: None) | M(2025): -0.10071397634736379 (fx: =(M29-L29)/L29)
Row 31 | [Fill] | Nợ xấu có khả năng mất vốn                              | L(2024): 6119216         (fx: 6119216) | M(2025): 9154889         (fx: 9154889)
Row 32 | [Tính] | Thay đổi tỷ lệ nợ xấu có khả năng mất vốn               | L(2024): None            (fx: None) | M(2025): 0.4960885512130966 (fx: =(M31-L31)/L31)
Row 33 | [Fill] | Tỷ lệ bao phủ nợ xấu (LLR Coverage)                     | L(2024): None            (fx: None) | M(2025): 0.553921322319723 (fx: 0.553921322319723)
Row 34 | [Fill] | Tổng nợ phải trả                                        | L(2024): None            (fx: None) | M(2025): 1079873967      (fx: 1079873967)
Row 35 | [Fill] | Hệ số an toàn vốn (CAR)                                 | L(2024): None            (fx: None) | M(2025): 0.1435          (fx: 0.1435)
Row 36 | [Fill] | Vốn chủ sở hữu                                          | L(2024): 147275262       (fx: 147275262) | M(2025): 180275629       (fx: 180275629)
Row 37 | [Tính] | Debt/Equity                                             | L(2024): None            (fx: None) | M(2025): 5.990127301122882 (fx: =M34/M36)
Row 38 | [Fill] | Tỷ suất sinh lời trên Tổng Tài Sản (ROA)                | L(2024): None            (fx: None) | M(2025): 0.0223          (fx: 0.0223)
Row 39 | [Fill] | Tỷ suất sinh lời trên Vốn CSH (ROE)                     | L(2024): None            (fx: None) | M(2025): 0.1487          (fx: 0.1487)
Row 40 | [Fill] | Tiền chi để mua sắm, xây dựng TSCĐ và các tài sản dài hạn khác (CapEx) | L(2024): -59296          (fx: -59296) | M(2025): -131095         (fx: -131095)
Row 41 | [Tính] | Chỉ số tự tài trợ                                       | L(2024): None            (fx: None) | M(2025): 9.857234780067998 (fx: =M26/(ABS(M18)+ABS(M27)))
Row 42 | [Fill] | Chỉ số P/E cơ bản                                       | L(2024): None            (fx: None) | M(2025): 8.8             (fx: 8.8)
Row 43 | [Fill] | Chỉ số P/B                                              | L(2024): None            (fx: None) | M(2025): 1.25            (fx: 1.25)
Row 44 | [Fill] | Lợi nhuận sau thuế chưa phân phối                       | L(2024): None            (fx: None) | M(2025): 45969647        (fx: 45969647)
Row 45 | [Fill] | Vốn hóa thị trường                                      | L(2024): None            (fx: None) | M(2025): 216992810487350 (fx: 216992810487350)
Row 46 | [Tính] | Owner Earnings                                          | L(2024): 16231140        (fx: =L14+L18-ABS(L40)) | M(2025): 24408423        (fx: =M14+M18-ABS(M40))
Row 47 | [Tính] | Tăng trưởng OE                                          | L(2024): None            (fx: None) | M(2025): 0.5038021358943364 (fx: =(M46-L46)/L46)
Row 48 | [None] | None                                                    | L(2024): None            (fx: None) | M(2025): None            (fx: None)
Row 49 | [None] | None                                                    | L(2024): None            (fx: None) | M(2025): None            (fx: None)
Row 50 | [None] | None                                                    | L(2024): None            (fx: None) | M(2025): None            (fx: None)
Row 51 | [None] | None                                                    | L(2024): None            (fx: None) | M(2025): None            (fx: None)
Row 52 | [None] | None                                                    | L(2024): None            (fx: None) | M(2025): None            (fx: None)
Row 53 | [None] | None                                                    | L(2024): None            (fx: None) | M(2025): None            (fx: None)
Row 54 | [None] | None                                                    | L(2024): None            (fx: None) | M(2025): None            (fx: None)
Row 55 | [None] | None                                                    | L(2024): None            (fx: None) | M(2025): None            (fx: None)
Row 56 | [None] | None                                                    | L(2024): None            (fx: None) | M(2025): None            (fx: None)
Row 57 | [None] | None                                                    | L(2024): None            (fx: None) | M(2025): None            (fx: None)
Row 58 | [None] | None                                                    | L(2024): None            (fx: None) | M(2025): None            (fx: None)
Row 59 | [None] | None                                                    | L(2024): None            (fx: None) | M(2025): None            (fx: None)
