Max row: 117, max col: 5
Row  1: Báo cáo | Chỉ tiêu (Tiếng Việt) | Năm 2025 | Năm 2024 | None
Row  2: Kết quả kinh doanh (P&L) | Tổng lợi nhuận/lỗ trước thuế | 30624949000000 | 20012700000000 | None
Row  3: Kết quả kinh doanh (P&L) | Chi phí thuế TNDN hiện hành | -6170628000000 | -3962779000000 | None
Row  4: Kết quả kinh doanh (P&L) | Chi phí thuế TNDN hoãn lại | -99725000000 | -63095000000 | None
Row  5: Kết quả kinh doanh (P&L) | Chi phí thuế thu nhập doanh nghiệp | -6270353000000 | -4025874000000 | None
Row  6: Kết quả kinh doanh (P&L) | Lợi nhuận sau thuế | 24354596000000 | 15986826000000 | None
Row  7: Kết quả kinh doanh (P&L) | Lợi ích của cổ đông thiểu số | -364666000000 | -208031000000 | None
Row  8: Kết quả kinh doanh (P&L) | Cổ đông của Công ty mẹ | 23989930000000 | 15778795000000 | None
Row  9: Kết quả kinh doanh (P&L) | Lãi cơ bản trên cổ phiếu (VND) | 3024 | 1989 | None
Row 10: Kết quả kinh doanh (P&L) | Thu nhập lãi và các khoản thu nhập tương tự | 101258954000000 | 81033640000000 | None
Row 11: Kết quả kinh doanh (P&L) | Chi phí lãi và các chi phí tương tự | -42596241000000 | -31031238000000 | None
Row 12: Kết quả kinh doanh (P&L) | Thu nhập lãi thuần | 58662713000000 | 50002402000000 | None
Row 13: Kết quả kinh doanh (P&L) | Thu nhập từ dịch vụ | 15030415000000 | 12279665000000 | None
Row 14: Kết quả kinh doanh (P&L) | Chi phí dịch vụ | -7648752000000 | -7075337000000 | None
Row 15: Kết quả kinh doanh (P&L) | Lãi/Lỗ thuần từ hoạt động dịch vụ | 7381663000000 | 5204328000000 | None
Row 16: Kết quả kinh doanh (P&L) | Lãi/(lỗ) thuần từ hoạt động kinh doanh ngoại hối và vàng | 297016000000 | 827240000000 | None
Row 17: Kết quả kinh doanh (P&L) | Lãi/(lỗ) thuần từ mua bán chứng khoán kinh doanh | 1566648000000 | 360956000000 | None
Row 18: Kết quả kinh doanh (P&L) | Lãi/(lỗ) thuần từ mua bán chứng khoán đầu tư | 4456000000 | 469667000000 | None
Row 19: Kết quả kinh doanh (P&L) | Thu nhập khác | 10875443000000 | 9559809000000 | None
Row 20: Kết quả kinh doanh (P&L) | Chi phí khác | -4169283000000 | -4182147000000 | None
Row 21: Kết quả kinh doanh (P&L) | Lãi/(lỗ) thuần từ hoạt động khác | 6706160000000 | 5377662000000 | None
Row 22: Kết quả kinh doanh (P&L) | Thu nhập từ cổ tức | 35161000000 | 12801000000 | Thu nhập từ góp vốn mua cổ phần
Row 23: Kết quả kinh doanh (P&L) | Tổng thu nhập hoạt động | 74653817000000 | 62255056000000 | None
Row 24: Kết quả kinh doanh (P&L) | Chi phí quản lý doanh nghiệp | -18630319000000 | -14339732000000 | None
Row 25: Kết quả kinh doanh (P&L) | Lợi nhuận thuần hoạt động trước khi trích lập dự phòng tổn thất tín dụng | 56023498000000 | 47915324000000 | None
Row 26: Kết quả kinh doanh (P&L) | Trích lập dự phòng tổn thất tín dụng | -25398549000000 | -27902624000000 | None
Row 27: Cân đối kế toán (Balance Sheet) | Tiền mặt, vàng bạc, đá quý | 2774182000000 | 2148289000000 | None
Row 28: Cân đối kế toán (Balance Sheet) | Tài sản cố định | 2028824000000 | 2023899000000 | None
Row 29: Cân đối kế toán (Balance Sheet) | Tài sản cố định hữu hình | 1479269000000 | 1437082000000 | None
Row 30: Cân đối kế toán (Balance Sheet) | Nguyên giá TSCĐ vô hình | 2205181000000 | 2086191000000 | None
Row 31: Cân đối kế toán (Balance Sheet) | Tài sản cố định vô hình | 549555000000 | 586817000000 | None
Row 32: Cân đối kế toán (Balance Sheet) | Hao mòn TSCĐ vô hình | -1655626000000 | -1499374000000 | None
Row 33: Cân đối kế toán (Balance Sheet) | Góp vốn, đầu tư dài hạn | 191960000000 | 189210000000 | None
Row 34: Cân đối kế toán (Balance Sheet) | Đầu tư dài hạn khác | 191960000000 | 189210000000 | None
Row 35: Cân đối kế toán (Balance Sheet) | TỔNG TÀI SẢN | 1260149596000000 | 923847637000000 | None
Row 36: Cân đối kế toán (Balance Sheet) | TỔNG NỢ PHẢI TRẢ | 1079873967000000 | 776572375000000 | None
Row 37: Cân đối kế toán (Balance Sheet) | VỐN CHỦ SỞ HỮU | 180275629000000 | 147275262000000 | None
Row 38: Cân đối kế toán (Balance Sheet) | Vốn điều lệ | 79339236000000 | 79339236000000 | None
Row 39: Cân đối kế toán (Balance Sheet) | Thặng dư vốn cổ phần | 23992546000000 | 23992546000000 | None
Row 40: Cân đối kế toán (Balance Sheet) | Lợi nhuận chưa phân phối | 45969647000000 | 24007579000000 | None
Row 41: Cân đối kế toán (Balance Sheet) | NỢ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU | 1260149596000000 | 923847637000000 | None
Row 42: Cân đối kế toán (Balance Sheet) | Tiền gửi tại Ngân hàng nhà nước Việt Nam | 13570476000000 | 14327215000000 | None
Row 43: Cân đối kế toán (Balance Sheet) | Tiền gửi tại các TCTD khác và cho vay các TCTD khác | 186228938000000 | 134643662000000 | None
Row 44: Cân đối kế toán (Balance Sheet) | Chứng khoán kinh doanh | 23960121000000 | 13110971000000 | None
Row 45: Cân đối kế toán (Balance Sheet) | Chứng khoán kinh doanh | 24132387000000 | 13180721000000 | None
